ppn;dist1;dist2;dist3;color
1;100;100;100;green
1;100;100;100;blue
2;105;110;105;blue
2;95;90;95;green
3;100;100;100;green
3;100;100;100;blue
4;117;110;101;blue
4;83;90;99;green
5;75;100;99;green
5;125;100;1;blue
6;100;100;100;blue
6;100;100;100;green
7;110;170;150;green
7;90;30;50;blue
8;150;150;150;blue
8;50;50;50;green
9;150;80;170;green
9;50;120;30;blue
10;100;100;100;blue
10;100;100;100;green
11;90;120;120;green
11;110;80;80;blue
12;105;120;108;blue
12;95;80;92;green
13;80;75;90;green
13;120;125;110;blue
14;150;170;180;blue
14;50;30;20;green
15;95;100;99;green
15;105;100;101;blue
16;100;100;100;blue
16;100;100;100;green
17;100;100;100;green
17;100;100;100;blue
18;54;66;50;blue
18;146;134;150;green
19;100;100;100;green
19;100;100;100;blue
20;110;140;120;blue
20;90;60;80;green
21;150;180;NA;green
21;50;20;NA;blue
22;25;NA;40;blue
22;175;NA;160;green
23;150;200;200;green
23;50;0;0;blue
24;120;120;130;blue
24;80;80;70;green
25;100;100;100;green
25;100;100;100;blue
26;100;100;100;blue
26;100;100;100;green
27;110;130;85;green
27;90;70;115;blue
28;100;100;100;blue
28;100;100;100;green
29;100;100;100;green
29;100;100;100;blue
30;100;100;100;blue
30;100;100;100;green
31;120;110;105;green
31;80;90;95;blue
32;150;160;190;blue
32;50;40;10;green
33;100;100;100;green
33;100;100;100;blue
34;100;100;100;blue
34;100;100;100;green
35;140;195;25;green
35;60;5;175;blue
36;120;120;110;blue
36;80;80;90;green
37;100;100;100;green
37;100;100;100;blue
38;112;110;124;blue
38;88;90;76;green
39;110;90;50;green
39;90;110;150;blue
